id	ER-NOD-ERR1084805	ER-NOD-ERR1084806	ER-ATH-ERR1084764	ER-ATH-ERR1084765	TN-NOD-ERR1084798	TN-NOD-ERR1084799	TN-ATH-ERR1084768	TN-ATH-ERR1084766
ENSG00000049239	0	0	0	0	0.458843	0	0	0
ENSG00000049541	0	0	0	0	0	0	0	1.72462
ENSG00000050130	3.69668	0	4.28801	4.37162	1.88244	0	2.93959	0
ENSG00000052802	0	0	0	2.07763	0	0.762319	0	0
ENSG00000053372	1.85809	0	2.0959	2.36074	0	0.617084	0	0
ENSG00000053501	0	0	0	0	0	0	0	0.874422
ENSG00000053524	0	0	1.60238	0	0	0.20598	0	0
ENSG00000054267	0	0	0	0	0	0	0	0
ENSG00000054654	0.794013	4.1423	3.77194	3.09783	2.72721	2.87043	2.86286	0
ENSG00000054690	0	0	0	0	0.358993	0	0	0.936763
ENSG00000055332	0	0	0	0	0	0	0	0
ENSG00000057019	0	2.63474	0	0	0	0	0	0
ENSG00000058668	0	0	1.62211	0	0	0	0	0
ENSG00000058866	0.747005	0	0	0	1.37782	3.93031	2.53898	5.1497
ENSG00000059145	0	0	0	0	0	0	0	0
ENSG00000059588	0	0	0	0	0	0	0	0
ENSG00000059691	0	0	0	0	0	0	0.31852	0
ENSG00000060138	0	0	0	0	0	0	0	0
ENSG00000060339	0	1.08414	0	0	0	0	0	0
ENSG00000063322	0	0	0	0	0	0	0	0
ENSG00000064012	0	0	0	0	0	0	0	0
ENSG00000064607	0.66228	0	0	0	0	0	0	0
ENSG00000064692	5.7386	4.04129	3.38177	3.73003	1.20507	2.38931	0	5.68048
ENSG00000065154	2.38608	0	2.66748	2.0545	2.53898	3.15022	2.46468	3.42
ENSG00000065413	0	0	0	0	0	0.353889	0	0
ENSG00000065621	0	0.518727	1.9983	0	0	0	0	0
ENSG00000066044	1.9983	1.85809	0	0	0	1.50129	0	1.78209
ENSG00000066056	0	0.759054	0	0	0	0	0	0.564307
ENSG00000066427	0	0	0	0	0	0	0	0
ENSG00000066468	0	0	0	0	0	0	0	0
ENSG00000067334	0	0.933818	0	1.44822	0	0.215796	0	0
ENSG00000067798	0	2.38931	0	0	0	0	0	0
ENSG00000067842	0.649551	0.516555	0	1.17112	2.66748	3.06509	2.03052	4.1143
ENSG00000068400	0	0	0	0	0	0	0	0
ENSG00000068489	1.20507	0	0	0	0	0	0	0
ENSG00000069431	0.827444	2.01748	2.38931	2.09908	1.57943	0.855816	0.7275	0.666922
ENSG00000069812	0	0	0	0	0	0	0	0
ENSG00000069869	5.57474	6.25851	6.16291	6.05105	6.22448	5.21249	6.37589	4.64505
ENSG00000069974	0	0	0	0	0	0.324	0.907628	0
ENSG00000070010	0	0	0	0	0	0.355928	0	0
ENSG00000070182	0	0	0	0	0	0	0	0
ENSG00000070190	0	0	0	0	0	0	0	0.548606
ENSG00000070601	0	0	0	0	0	0	0	0
ENSG00000070669	4.03307	1.39264	3.94349	2.69435	1.62211	0	3.83223	3.26018
ENSG00000070729	2.24337	0	0	1.47294	0.25939	3.64419	5.26067	0
ENSG00000070756	10.8978	11.736	11.3341	11.288	10.7005	10.671	11.7294	10.6516
ENSG00000070770	5.9387	6.33172	6.30755	6.46646	6.88397	6.98511	6.72322	5.50509
ENSG00000071073	0	0	0	0	0	0	0	0
ENSG00000071991	0	1.27478	0	0	0.107814	0.136515	5.90241	2.45995
ENSG00000072080	0	0	0	0	2.71203	0	0	0
ENSG00000072195	0	0	0	0	0	0	0	0.775509
ENSG00000073605	0	0	0	0	0	0	0	0
ENSG00000073756	6.3159	2.86286	0	1.42357	3.4125	0	4.8126	8.17869
ENSG00000074219	0	0	0	0	0	0	0	0
ENSG00000074416	0	0	0	0	0	0.659047	0.831231	0
ENSG00000074660	0	0	0	0	0	0	0	0
ENSG00000074755	0.647552	0	0	1.13824	0	0.329873	0.524157	0
ENSG00000074800	1.73624	0	0	0	0.712685	1.80765	0.946146	4.7729
ENSG00000075131	0	0	2.27056	0	0	0	0	0
ENSG00000075539	0	0	0	0	0	0	0	0
ENSG00000075624	7.53603	6.5046	6.02854	6.80189	6.27912	7.57452	5.4872	7.42196
ENSG00000075702	0	0	0	0	0	0	0.659047	1.98854
ENSG00000075884	0	0	0	0	0	0	0	0
ENSG00000075886	0	0	0	0	0	0.84896	0	0
ENSG00000075914	0	0	0	0	0	0	0	0
ENSG00000076053	0	0.901721	1.85152	0	0.319156	0	0	0
ENSG00000076513	0	0	0	0	0	0	0	0
ENSG00000076554	0	0	0	0	0	0	0	0
ENSG00000077254	0	0	0	0	0	0	0.677517	0
ENSG00000077454	0	0	1.61201	0	0	0	0	0
ENSG00000077809	0	0	0	0	0	0	0	0
ENSG00000078124	0.51104	0	0	0	0.0961709	0	0	0
ENSG00000078142	0	0	0	0	0	0	0.833476	0
ENSG00000078399	3.62221	0	0	0	4.48513	0.913534	7.75232	6.82328
ENSG00000078699	0	0.874422	0	0	0	0	0.54739	0.458843
ENSG00000078814	0	0	0	0	0	0	0	0
ENSG00000079385	0.955312	0	0	0	0	0	0	0
ENSG00000079482	2.60919	3.64419	2.95168	3.55676	2.12209	2.0796	1.9983	1.10285
ENSG00000079974	0	0	0	0	0	0	0	0
ENSG00000080573	0.740832	0	0	0	2.95168	1.93532	2.65914	7.08351
ENSG00000080802	0	0	0	0	0	0	0	0
ENSG00000080947	0	0	0	0	0	0	0	0.212361
ENSG00000081059	0	0	0	0	0	0	0	0
ENSG00000081665	1.87094	0	0	0	0	0	2.21369	0
ENSG00000081760	0	0	0	0	0	0	0	0
ENSG00000081870	1.86634	0	0	0	0	0	0	0
ENSG00000082805	3.42	0	0	0	0	0	0	0
ENSG00000082898	0	0	3.67658	0	0	0	0	0
ENSG00000083123	0	0	0	0	0	0	0.55807	0
ENSG00000083312	0	0	0	0	0	0	0	2.31616
ENSG00000083444	0	0	0	0	0	0	0	0
ENSG00000083807	0	0	0	1.27478	0	0	0	0
ENSG00000084072	0	0	2.89541	0	0	0	0	0
ENSG00000084092	0	0	0	0	0	0	0	0
ENSG00000084234	1.49531	2.45678	0	3.25118	0.855816	0	2.22984	0
ENSG00000084623	0	0	0	0	0	0	0	2.12209
ENSG00000084754	0	0	0	0	0	0	0	0
ENSG00000084774	2.0715	0	0	0	0	0	0	0
ENSG00000085662	2.18006	3.66911	0	0	0	1.12985	0	0
ENSG00000085998	0	0.792319	0	0	0	0	0	1.07905
ENSG00000086015	0	0.579029	0	0	0	0.195797	0	0
ENSG00000086598	0	0	0	0	0	0	0	0
ENSG00000086666	6.0446	5.75827	6.07828	6.94015	5.8465	6.09002	4.79017	5.28467
ENSG00000087053	0	0.862429	2.03671	1.79341	0.531265	0	0	0
ENSG00000087206	1.17112	0	0	0	0	1.26162	0	2.82708
ENSG00000087253	0	0	0	0	0	0	0	0
ENSG00000087258	0	0	0	0	0	0	0	1.9983
ENSG00000087263	1.79341	0	0	0	0	0	0	0
ENSG00000087266	0	0	0	1.09988	0	0	0.276652	0
ENSG00000087269	0.692684	0	2.20837	1.58312	0	0.309436	0	1.89783
ENSG00000087299	0	1.10285	0	2.01011	0	0	0	0
ENSG00000087460	3.63495	0	2.71203	0	4.03307	2.35812	3.25515	0
ENSG00000087470	0	0	0	0	0	0	0	0
ENSG00000088002	0	1.49531	0	0	0	0	0	0
ENSG00000088205	0.732966	2.08298	2.45995	1.75252	0	0.914201	0.866916	3.94349
ENSG00000088340	0	0	0	0	0	1.19232	0	0
ENSG00000088882	2.90359	0	2.5187	3.60656	2.11627	0.976743	0	7.52133
ENSG00000089006	0	0.644542	0	0	0	0	0	0
ENSG00000089050	0	0	0	0	0	0	0	0
ENSG00000089091	0	0	0	0	0	0	0	0
ENSG00000089225	1.09393	0	0	0	5.56953	3.38177	0	6.40724
ENSG00000089351	0	0	0	0	0	0	0	0
ENSG00000089685	0	0	0	0	0	0	0	0
ENSG00000089775	0.485016	0	0	0	0.0633898	0.187515	0	0
ENSG00000090006	0	0	0	0	0	0	0	0
ENSG00000090263	0	0	0	0	0	0	0	0
ENSG00000090382	1.90876	1.55464	0	0	0	0	1.10285	0
ENSG00000090487	0	0	0	0	0	0	0	0
ENSG00000090554	0	0	0	0	0	0	0	0
ENSG00000090581	0	0	0	0	0	0	0	0
ENSG00000090621	0	0	0	0	0	1.65509	0	0
ENSG00000090905	0	0	0	0	0	0	0	0
ENSG00000091409	0	0	0	0	0	0	0	0
ENSG00000091436	0	0	0	0	0	0	0	0
ENSG00000091651	4.43274	4.7729	4.7156	3.77194	3.64419	5.31049	2.28838	0
ENSG00000091844	0	0	0	0	0	0	0	2.52843
ENSG00000092330	0	0	0	0	0	0	0	0
ENSG00000092853	0	0	0	0	0	0	0	0
ENSG00000092931	0	0	0	0	0	0	0	0
ENSG00000093134	0	0	0	0	0	0	0	0
ENSG00000094916	0	0	0	0	0	0	0	0
ENSG00000095066	0	0.979562	0	0	0	0	0	0
ENSG00000095380	0	0	0	0	0	0	0.654239	0
ENSG00000095485	1.22602	2.83026	3.09557	2.84201	2.41389	2.80432	2.49458	5.19101
ENSG00000095787	0	0.770698	1.47771	1.57266	1.06549	0.740832	0.66228	0
ENSG00000096093	0	0	0	0	0	0	0	0
ENSG00000099338	0	0	1.78209	0	0	0	0	0
ENSG00000099377	0	0	0	0	0	0	0	0
ENSG00000099715	0	0	0	0	0.20231	0	0.757291	0
ENSG00000099797	0	0	0	0	0	0	0	0
ENSG00000099940	0	0.614777	0	0	0	0	0	0
ENSG00000100003	2.13631	0	3.11453	2.38608	0	1.09393	2.5187	1.95051
ENSG00000100058	0	0.914201	0	0	0	0	0	0.623586
ENSG00000100083	0	0	0	0	0	0	0	0
ENSG00000100099	0	0	0	2.03671	0	0	0	0
ENSG00000100181	0	0	0	0	0	0	1.08414	0
ENSG00000100206	0	0	0	0	0	0	0	0.542811
ENSG00000100209	0	0	0	0	0	0	0	0
ENSG00000100221	0	0	1.80765	1.56676	0	0	0	0
ENSG00000100228	0	1.07905	2.45678	2.44368	0	0	0	0
ENSG00000100296	0	0	0	0	0	0	0	0
ENSG00000100336	0	0	0	0	0	0	0	0
ENSG00000100342	0	0	0	0	0	0	0	0
ENSG00000100350	0	0	0	0	0	0	0	0
ENSG00000100368	3.04299	0	2.41389	2.76797	2.91287	0.780257	3.45462	0.25939
ENSG00000100376	0	0	0	0	0	0.322437	0	0
ENSG00000100410	6.33349	5.38509	6.61815	6.12922	6.35155	6.21188	5.68218	5.41307
ENSG00000100418	0	0.661171	0	0	0	0	0	0.339692
ENSG00000100522	0	0	0	0	0	0	0	0
ENSG00000100554	0	0.877387	0	0	0	0	0.326492	0
ENSG00000100625	0.539739	0.586644	0	0	0.10865	0.146106	0.34285	0
ENSG00000100626	0	0	2.54509	0	0	0	0	0
ENSG00000100644	0	2.21369	0	0	0	0	0	0
ENSG00000100711	0	0	0	0	0	0.458843	0	0
ENSG00000100767	0	0	1.93532	0	0	0	0	0
ENSG00000100814	0	3.06509	0	0	0	2.30869	0	0
ENSG00000100815	0.49151	0.416472	1.38407	0	0.597716	0	0	0.221369
ENSG00000100852	3.49991	2.60392	0	0	0	2.84201	0	3.37135
ENSG00000100865	0	0	0	1.85809	0	0	0	0
ENSG00000100934	0	2.03671	0	2.60392	1.98854	0	0	0
ENSG00000101003	0	0	0	0	0	0	0	0
ENSG00000101079	0	0.788196	0	0	0	0	0	0
ENSG00000101144	0	0	0	0	0	0	0	0
ENSG00000101181	0	0	0	0	0	0	0.692684	0
ENSG00000101307	0	0	0	0	0	0	0	0
ENSG00000101350	0	0	0	0	0	0	0	1.52575
ENSG00000101361	0	4.01367	4.46261	4.07017	3.19737	2.89541	4.14933	5.92463
ENSG00000101425	0	0	1.95543	0	8.22836	6.35595	8.58732	0
ENSG00000101448	0.988285	0	0	0	0	0	0	0
ENSG00000101452	0	0	0	0	0	0.380206	0	0
ENSG00000101546	1.24807	1.50795	0	0	0	0	0	0.925922
ENSG00000101842	0.76433	0	0	0	0.403727	0	0	0.579029
ENSG00000101882	0	0	0	0	0	0	0	0.718535
ENSG00000101892	0	0.647552	0	0	0	0	0	0
ENSG00000101966	0	0.507206	1.39264	1.10674	0.253335	0.49151	0.890821	0
ENSG00000101972	0	0	0	0	0	0	0	0
ENSG00000102054	0	3.17998	0	0	0.602227	0	0	0
ENSG00000102158	0	0.634032	0	0	0	0	0	0
ENSG00000102466	0	0	0	0	2.0545	1.77837	4.41298	2.293
ENSG00000102595	0	0	0	0	0	0.629691	0	0
ENSG00000102753	0	0	0	0	0.747005	0.614777	0.446822	0
ENSG00000102837	1.25117	0	1.94357	2.20427	7.20592	3.55676	7.65219	1.71823
ENSG00000103197	0	2.33076	0	0	0	0	2.0715	0
ENSG00000103199	0	0	0	0	0.136515	0	0	0
ENSG00000103313	0	1.40972	0	0	0	0	0	0
ENSG00000103319	0	0	0	0	0	0	0	0
ENSG00000103381	0	0	0	0	0	0	0	0
ENSG00000103415	0	0	0	0	0	0	0	0
ENSG00000103423	0	0	0	0	0	0	0	0
ENSG00000103485	0	0	0	0	0	0	0	0
ENSG00000103495	0	0.915297	0	0	0	0	0	0
ENSG00000103528	0	0	0	0	0	0	0	0
ENSG00000103544	0	0	0	0	0	0	0	0
ENSG00000103546	3.32562	0	0	0	4.90395	3.57014	5.68068	0.545347
ENSG00000103707	0	0	0	0	0	0	1.57943	0
ENSG00000103855	0	0	0	0	0	0	0	0.677517
ENSG00000103942	0	0	0	1.18306	0	0	0	0
ENSG00000103994	0	0.869798	0	0	0	0	0	0
ENSG00000104164	3.56088	5.04542	4.53419	4.13115	4.21865	4.07017	4.38406	3.33713
ENSG00000104177	0	0	0	0	0.57577	0.212361	0	0
ENSG00000104205	0	0	0	0	0	0.552318	0.747005	0
ENSG00000104368	0	0	0	0	0	0	0	0.636803
ENSG00000104375	0	0	0	0	0	0	0	0
ENSG00000104472	0	1.26674	0	0	0	0	0	0
ENSG00000104490	0	0	0	0	0	0	0	0
ENSG00000104643	0	0.480789	0	0	0	0	0	0
ENSG00000104671	0	0	0	0	0	0	0	2.32354
ENSG00000104738	0	0	0	0	0	0	0	0
ENSG00000104881	0	0	0	0	0	0	0	0
ENSG00000104894	6.68342	3.40636	1.90357	2.83026	6.43504	5.52274	3.93031	6.47269
ENSG00000104904	0.788196	0	0	2.03318	0	0	0	0
ENSG00000104946	0	0	0	0	0	0	0	0
ENSG00000105122	3.95509	4.24378	2.91287	2.68039	2.92558	2.01389	1.70365	0.973935
ENSG00000105143	0	0	0	0	0	0	0	0
ENSG00000105193	11.0584	11.3955	10.8931	10.6384	12.3713	11.9196	11.119	10.6652
ENSG00000105197	0	0	2.11197	0	0	0	0	0
ENSG00000105220	0	0	0	0	0	0.0496791	0.51104	0.520854
ENSG00000105278	7.01107	1.98854	0	0	1.25733	5.17082	0	3.98565
ENSG00000105298	0	0	0	0	0	0	0	0
ENSG00000105323	0	2.2663	0	0	0	2.956	0	2.86286
ENSG00000105339	0	0	0	0	0	0	0	0
ENSG00000105372	0	0	0	0	0	0	0	1.17985
ENSG00000105379	0	0	0	1.12985	0	0	0	0.850672
ENSG00000105392	0.608261	0.970427	0	0	0	0	0	0
ENSG00000105409	0	0	0	0	0	0	1.58835	0
ENSG00000105443	0	0	0	0	0	0	0.406484	0
ENSG00000105464	0	0	0	0	0	0	0	0
ENSG00000105499	0	0	0	0	0	0	0	0
ENSG00000105519	0.699019	0	0	0	0	0	0	0
ENSG00000105583	0	0	0	0	0	0	0	0.673123
ENSG00000105613	0	0	0	0	0	0	0	0
ENSG00000105641	0	0.683104	0	0	0.309436	0	0	0
ENSG00000105650	1.90357	0.591993	2.91657	2.13631	0	0	0	0
ENSG00000105696	1.85152	3.67886	3.96883	0	1.63922	2.0715	5.47277	6.16672
ENSG00000105700	0	0	0	0	0	0	0	0
ENSG00000105723	0	0.692684	0	1.59218	0.311398	0	0	0
ENSG00000105750	0	0	0	0	0	0	0	0
ENSG00000105793	0	0	0	0	0	0	0	0
ENSG00000105852	7.07321	6.21361	0	0	5.09025	2.293	5.14808	2.83549
ENSG00000105855	0	0	0	0	0.0802844	0	0	0
ENSG00000105889	0	3.23504	2.98661	2.40086	4.87936	4.08149	2.91657	7.24999
ENSG00000105948	0	0	0	0	0	0	0	0
ENSG00000105953	0	0	0	0	0	0	0	0
ENSG00000105996	1.5961	0	0	0	3.51005	0	5.80438	5.3839
ENSG00000105997	2.82021	0	0	0	4.15617	0	7.71709	6.08646
ENSG00000106004	4.1143	0	0	0	5.12331	0	8.26204	7.70954
ENSG00000106006	4.10712	0	0	0	4.84133	2.22317	7.70734	5.75235
ENSG00000106018	0	0	0	0	0	0	0	0
ENSG00000106031	1.53795	0	0	0	2.20427	1.97112	2.91287	6.25623
ENSG00000106077	0	0	0	0	0	0	0	0
ENSG00000106080	0	0	0	0	0	0	0.731744	0.66228
ENSG00000106258	0.84896	0	2.01748	2.28117	0.518727	0	0.732966	0
ENSG00000106261	0	0	0	0	0	0.0738062	0	0
ENSG00000106384	0	0	0	0	0	0	0	0.845921
ENSG00000106460	0	0	0	0	0	0.0517205	0	0
ENSG00000106511	0	0	0	0	0	0.548606	4.00054	5.54799
ENSG00000106546	0	0	0	0	0	0	0	0.190602
ENSG00000106588	1.80274	0	0	0	0	0	0	0.982406
ENSG00000106771	0	0	0	0	0	0	0	0
ENSG00000106785	0	0	0	0	0	0	0	0
ENSG00000107317	5.49047	9.41284	3.03573	3.06509	1.96345	5.53402	2.23433	2.84201
ENSG00000107362	0	0	0	0	0	0	0	0
ENSG00000107625	4.79017	3.91099	4.69472	4.56537	4.35498	4.3627	3.73466	5.54032
ENSG00000107736	0	0	0	0	0	0	0.712685	0
ENSG00000107796	3.26707	2.11627	3.02699	0	1.86267	6.48951	0	0
ENSG00000107897	0	0	0	0	0	0.299179	0	0
ENSG00000107937	0.586644	0	0	0	0	0	0	0
ENSG00000108187	0	0	0	0	0	0	0	0
ENSG00000108264	0	0.617084	0	1.46277	0	0	0	0.296034
ENSG00000108296	0	0	0	0	0	0	0	0
ENSG00000108309	0	0	0	0	0	0	0.520854	0
ENSG00000108423	0	0	0	0	0	0	0	0.96777
ENSG00000108439	0	0	0	1.84682	0	0	0	0.705202
ENSG00000108448	1.95051	0	0	0	0	0	1.72462	0
ENSG00000108474	0	2.67372	0	3.37135	0	0	3.05386	0
ENSG00000108511	2.76386	9.4376	0	0	3.37135	6.86118	0.994546	6.23402
ENSG00000108582	0	0	0	0	0	0	0	0
ENSG00000108587	1.10285	0	0	1.19232	0.623586	0	0.617084	0
ENSG00000108651	5.56483	5.5156	5.79606	6.15556	5.85384	5.92655	5.69238	6.54852
ENSG00000108691	5.71122	0	0	2.82021	4.31597	1.60572	4.09439	10.4981
ENSG00000108788	0	0	0	0	0	0	0	0
ENSG00000108799	0	0	0	0	1.45806	0	0	0
ENSG00000108846	0	1.44822	0	0	0	0	0	0
ENSG00000108963	0	0	0	0	0	0	1.36665	0.744377
ENSG00000109016	0	1.84195	0	0	0	0	0	0
ENSG00000109046	0	0	0	0	0	0.450442	0	0
ENSG00000109083	0	1.79665	0	0	0	1.17985	1.45806	1.34892
ENSG00000109133	0	0	0	1.12676	0	0	0	0
ENSG00000109321	8.72095	11.8311	6.33967	7.72246	4.46261	7.15407	5.09926	0.116363
ENSG00000109787	0	0	0	0	0	0	0	0
ENSG00000109943	0	0	0	0	0	0	0	0
ENSG00000109971	0	0	0	0	0	0	0	3.10603
ENSG00000110046	0	0	0	0	0	0	0	0
ENSG00000110090	0.808013	0	0	0	0.175546	0	0	0
ENSG00000110675	0	0	2.17088	0	0.703789	0	0	0
ENSG00000110697	0	0	0	0	0	0	0	0
ENSG00000110723	0	0	0	0	0	0	0	0
ENSG00000110801	0	0	0	0	0	0	0	0
ENSG00000110852	1.17985	0	0	0	3.38177	0	2.16505	7.18222
ENSG00000111300	0	1.94357	0	0	0	0.57577	0	0
ENSG00000111321	0	2.18276	0	0	0	0	0	0
ENSG00000111331	0	0	0	0	0	0.915297	0	0
ENSG00000111341	0	0	0	0	0	0	0	0
ENSG00000111432	0	0	0	0	4.8126	0	0	5.57682
ENSG00000111490	0	2.37964	0	3.09557	0	1.89281	0	0
ENSG00000111713	0	0.740832	0	0	0.916978	0	2.69435	2.42118
ENSG00000111816	0	0.697668	0	1.06549	0.102086	0	0	0.285581
ENSG00000112033	0	0	0	0	0	0	0	0
ENSG00000112078	0	0.545347	0	0	0	0	0	0
ENSG00000112079	1.09988	0	0	2.05009	0.991574	1.44822	0.570411	0
ENSG00000112096	1.14691	2.04004	2.16505	1.80765	1.60572	1.54963	1.95051	2.68039
ENSG00000112146	0	0	0	0	0	0.400013	0	0
ENSG00000112164	3.85765	0	1.91846	0	0	0	5.86927	3.92089
ENSG00000112246	3.17998	0	0	0	5.52657	0.836145	0.801592	4.98634
ENSG00000112299	0	1.93232	0	0	0.350208	3.09173	0	1.25733
ENSG00000112306	0	0	0	0	1.77182	0	2.05009	0
ENSG00000112333	0	1.53795	3.60113	0	3.26707	1.21897	0.719518	4.21865
ENSG00000112343	0	0	0	0	0	0.343588	0	0
ENSG00000112701	0	0	0	0	0	0	0	0
ENSG00000112769	0	0	0	0	0	0	0	0
ENSG00000112992	0.901721	2.19822	0	1.54305	0.329873	0.52676	0	0.661171
ENSG00000113119	0	0	0	0	0	0	2.60392	0
ENSG00000113163	0	0	0	0	0	0	0	0.485016
ENSG00000113328	3.15022	3.1672	4.63498	3.93031	3.57014	2.03318	3.88525	5.92136
ENSG00000113387	0	0	0	0	0	0	0	0
ENSG00000113494	4.84133	3.5207	4.87108	4.54293	4.1143	4.32817	0	0
ENSG00000113712	6.48654	5.49852	7.00622	7.06153	6.40556	7.11181	5.50501	7.24258
ENSG00000113719	0	0	0	0	0	0	0	0
ENSG00000113838	0	0	0	0	0	0	0	0
ENSG00000114098	0	0	0	0	0	0	0	0
ENSG00000114125	0	0	0	0	0	0	0	0.632597
ENSG00000114127	2.97869	0	0	0	0	1.81229	0	2.03052
ENSG00000114302	0	0	0	1.61962	0	0	0	0
ENSG00000114346	0	2.53898	0	3.90237	1.93532	0	0	0
ENSG00000114353	4.66173	2.65102	4.6028	4.15617	3.85765	3.57972	0	4.93393
ENSG00000114450	0	0	0	0	0	0	0	0
ENSG00000114541	0	0	0	0	0	0	0	0
ENSG00000114573	0.593244	0	0	0	0	0	0.400013	0
ENSG00000114686	0	0	0	0	0	0	0	0
ENSG00000114735	0	0	0	0	0	0	0	0
ENSG00000114850	0	0	0	0	0	0	0.557601	0
ENSG00000114948	0	1.50129	0	0	1.21897	0	0	6.67086
ENSG00000114982	2.03671	0	0	0	0.788196	0	0	0
ENSG00000115232	2.83549	0	0	1.9133	2.88595	0.23137	2.956	5.81875
ENSG00000115239	0	0.831231	0	0	0	0	0	1.03077
ENSG00000115423	0	0.403727	1.44822	2.49458	0	0	0	0
ENSG00000115602	0	0	0	0	0	1.75252	0.705202	0
ENSG00000115604	0	0	0	0	1.60238	0	3.03573	5.05726
ENSG00000115756	0	1.67858	1.60572	0	0	0.651781	0.777243	0.267169
ENSG00000115762	0	0	0	0	0	0	0	0
ENSG00000115839	0	0	0	0	0	0	0	0
ENSG00000115935	5.27878	4.91682	4.25873	4.93393	6.59645	3.73466	0.951483	7.7598
ENSG00000115947	1.92763	4.34272	2.77781	2.81365	2.17088	2.23433	2.0545	1.56676
